scrape_date,keyword,page,position,last_update,headline_title,snippet,source_news,source_news_url
2025-03-16 11:04:05.476882,Danantara,1,1,1 hari lalu,"Danantara Terbentuk, Erick Thohir Ungkap Nasib Perum BUMN",Kementerian BUMN membeberkan langkah yang akan dilakukan pada perusahaan pelat merah usai pembentukan Badan Pengelola Investasi Danantara.,CNBC Indonesia,https://www.cnbcindonesia.com/market/20250314152859-17-618730/danantara-terbentuk-erick-thohir-ungkap-nasib-perum-bumn
2025-03-16 11:04:05.476882,Danantara,2,1,16 jam yang lalu,Danantara Indonesia Dimasukkan ke Daftar 6 SWF Terkuat Dunia,"Danantara Indonesia menempati peringkat keenam dalam daftar dana kekayaan negara (Sovereign Wealth Funds/SWF) terkuat di dunia,...",Metrotvnews.com,https://www.metrotvnews.com/read/b3JCp2ra-danantara-indonesia-dimasukkan-ke-daftar-6-swf-terkuat-dunia
2025-03-16 11:04:05.476882,Danantara,2,2,15 jam yang lalu,Danantara jadi SWF terkuat peringkat ke-6 dunia,Badan Pengelola Investasi (BPI) Daya Anagata Nusantara (Danantara) Indonesia berada di peringkat keenam dalam jajaran pengelola dana...,ANTARA News,https://www.antaranews.com/berita/4713709/danantara-jadi-swf-terkuat-peringkat-ke-6-dunia
2025-03-16 11:04:05.476882,Danantara,2,3,14 jam yang lalu,Danantara; Harapan Mesin Pertumbuhan Ekonomi Dan Masa Depan Hilirisasi,Danantara digadang-gadang menjadi mesin pertumbuhan ekonomi baru di era Presiden Prabowo Subianto. Pun proyek hilirisasi disebut akan...,Validnews,https://validnews.id/ekonomi/danantara-harapan-mesin-pertumbuhan-ekonomi-dan-masa-depan-hilirisasi
2025-03-16 11:04:05.476882,Danantara,2,4,2 jam yang lalu,"Danantara Indonesia Masuk 6 Besar SWF Terkuat Dunia, Kalahkan Raksasa Investasi Global - Saba Cirebon","Danantara Indonesia masuk peringkat 6 SWF terkuat dunia dengan AUM 983 miliar dolar AS, kalahkan beberapa SWF raksasa global.",Saba Cirebon,https://cirebon.pikiran-rakyat.com/nasional/pr-049159247/danantara-indonesia-masuk-6-besar-swf-terkuat-dunia-kalahkan-raksasa-investasi-global
2025-03-16 11:04:05.476882,Danantara,2,5,15 jam yang lalu,"Rosan Sebut Kementerian Bisa Ajukan Proyek ke Danantara, tapi Ada Syaratnya","SinPo.id - Menteri Investasi/Kepala BKPM sekaligus CEO Danantara Rosan Perkasa Roeslani mengatakan, Danantara terbuka pada semua proyek dan...",SinPo.id,https://sinpo.id/detail/92758/rosan-sebut-kementerian-bisa-ajukan-proyek-ke-danantara-tapi-ada-syaratnya
2025-03-16 11:04:05.476882,Danantara,2,6,20 jam yang lalu,"Rosan Sebut Danantara Siap Dukung Proyek Hilirisasi, tapi Ada Syaratnya Halaman all","JAKARTA, KOMPAS.com – Kepala Badan Pengelola Investasi Daya Anagata Nusantara (BPI Danantara), Rosan P Roeslani, merespons soal sejumlah...",Kompas.com,https://money.kompas.com/read/2025/03/15/104837526/rosan-sebut-danantara-siap-dukung-proyek-hilirisasi-tapi-ada-syaratnya?page=all
2025-03-16 11:04:05.476882,Danantara,2,7,14 jam yang lalu,"Aset Danantara Rp 14.000 Triliun, Amankan dari Para Koruptor? | Kopi Pahit Edisi 25",INDOPOSCO.ID - Presiden Prabowo telah meresmikan pembentukan Badan Pengelola Investasi (BPI) Danantara. Pembentukan badan ini menuai pro dan...,indoposco,https://indoposco.id/video/2025/03/15/aset-danantara-rp-14-000-triliun-amankan-dari-para-koruptor-kopi-pahit-edisi-25
2025-03-16 11:04:05.476882,Danantara,2,8,5 jam yang lalu,Indonesia Menuju Negara Maju dengan Danantara dan Bank Emas,"Jakarta - Presiden Prabowo Subianto bertemu dengan miliarder Amerika Serikat, Raymond Thomas Dalio, untuk membahas pembentukan Badan...",Warta Alor,https://wartaalor.com/2025/03/15/indonesia-menuju-negara-maju-dengan-danantara-dan-bank-emas/
2025-03-16 11:04:05.476882,Danantara,2,9,16 jam yang lalu,Risiko Keuangan dan Lingkungan Jika Danantara Mendanai Proyek DME Batu Bara,Risiko proyek DME mulai dari penambahan subsidi hingga dampak lingkungan. Karena batu bara biang keladi pemanasan suhu bumi.,Tempo.co,https://www.tempo.co/lingkungan/proyek-dme-batu-bara-danantara-1219959
2025-03-16 11:04:05.476882,Danantara,2,10,20 jam yang lalu,Rosan Pastikan Semua Kementerian Bisa Ajukan Proyek yang Mau Didanai Danantara - kumparan.com,CEO Daya Anagata Nusantara (Danantara) Rosan Perkasa Roeslani memastikan semua kementerian atau lembaga bisa mengajukan proyek dan program...,Kumparan,https://kumparan.com/kumparanbisnis/rosan-pastikan-semua-kementerian-bisa-ajukan-proyek-yang-mau-didanai-danantara-24gQh8ztMbu
2025-03-16 11:04:05.476882,Danantara,3,1,1 hari lalu,Rosan Tegaskan Sumber Dana Danantara dari Dividen BUMN,"Jakarta – Chief Executive Officer (CEO) Badan Pengelolaan Investasi Daya Anagata Nusantara (BPI Danantara) Rosan Roeslani menegaskan,...",Infobanknews,https://infobanknews.com/rosan-tegaskan-sumber-dana-danantara-dari-dividen-bumn/
2025-03-16 11:04:05.476882,Danantara,3,2,1 hari lalu,Prabowo Ingin Kampus Jadi Tulang Punggung Riset untuk Danantara,"Presiden Prabowo menginginkan perguruan tinggi jadi tulang punggung riset, inovasi, serta menyiapkan SDM untuk industri-industri strategis.",investor.id,https://investor.id/national/392181/prabowo-ingin-kampus-jadi-tulang-punggung-riset-untuk-danantara
2025-03-16 11:04:05.476882,Danantara,3,3,18 jam yang lalu,Rosan: Danantara Terbuka Pada Semua Proyek Yang Diajukan Pemerintah,JAKARTA - Badan Pengelola Investasi Daya Anagata Nusantara (BPI Danantara) meastikan terbuka pada semua proyek dan program yang diajukan...,Validnews,https://validnews.id/ekonomi/rosan-danantara-terbuka-pada-semua-proyek-yang-diajukan-pemerintah
2025-03-16 11:04:05.476882,Danantara,3,4,4 hari lalu,Tujuan Besar Prabowo di Balik Berdirinya Danantara,"Prabowo mengatakan, Danantara Indonesia ini merupakan konsolidasi kekuatan ekonomi yang dimiliki oleh pemerintah Republik Indonesia.",CNBC Indonesia,https://www.cnbcindonesia.com/market/20250311080141-17-617426/tujuan-besar-prabowo-di-balik-berdirinya-danantara
