scrape_date,keyword,page,position,last_update,headline_title,snippet,source_news,source_news_url
2026-02-21 20:56:04.495228,Prabowo Subianto,1,1,1 hari lalu,Prabowo-Trump sepakati tarif dagang 19% ke AS – Apa dampak kesepakatan ini?,"Prabowo-Trump sepakati tarif dagang 19% ke AS – Apa dampak kesepakatan ini?BBCPrabowo di Hadapan Investor Dunia: RI Kini Bukan 'Raksasa Tidur' LagiCNN IndonesiaPrabowo Subianto Terima Jersey Chelsea, Sinyal Kuat Daya Tarik Investasi Global ke IndonesiaMerdeka.com",BBC,https://news.google.com/rss/articles/CBMiYEFVX3lxTFBONVMzU2pMa2JNMWptYlh6MGRBaEo0TE01cldIRzdlTVFVTVdocVhTVWlsLWU5YTJleE1PR0x6cm5mNlItQUhiSlFCWW5UcE5VRjhKeW5iTDBTQmR4MXVKZNIBZkFVX3lxTE4tNU5pb2hLUVZHNU1wbktMMnREQkNXZVZMNkxkTjdxZ0E2Mk44Q3B1dTg4M0J4WjVJRGpvaFBUaWdOa3FHNWE2WWNGMGdXd3lKalNtQm1aYnBOdVozalZQT2p0aFUyQQ?oc=5
2026-02-21 20:56:04.497232,Prabowo Subianto,1,2,6 jam yang lalu,"Bertemu Pemilik Chelsea, Prabowo Dapat Jersey Reece James","Bertemu Pemilik Chelsea, Prabowo Dapat Jersey Reece JamesCNN Indonesia",CNN Indonesia,https://news.google.com/rss/articles/CBMivgFBVV95cUxOTmRBX2RPTENCaTh3Qnk5b0FOa1Ytc0pVZFVvdU5ENFMyU0lPQ3ZvaVo2NHN1bjlWaEVXWkxXdng0YnZLQnJ0WWFUeWEtaVJtTzUwWGIwZ0tIYTg4MjBURUVhSkNBSmhGMURVUWp5MG4tRnpfMVNQX3NoN2dDVmkweFVHREdvTXF0R0hsYld0RnprZG9MNXRmQmNiLWsxcUR1WDY4Q2MyUmFuWWNDSzl3X2g3VFdBR1UtcTh2ek1B0gHDAUFVX3lxTE9hOVJWQWt1STFhR2liMHFCaHR1LXkyZHVFQjdtYWtJTjFuVFRVcFRIU1luZlFROXl6SnlNal9kM2lzeEVlMHJnTHJhMzNrcndtcTdHbEZCdnZzZld4X2dvR09nUjYwZHZrVzRzTDRna3hjTnI4ZVc2QTQ1NHVUbzJTc0czZWNlU2JzaUo4dkNSMVhlSkJMd2REcHBWOTNvaDZEMkJSVmtsNkRSZUZLRHB0TkJTcW81bndhVjdmT1Y1bW9nQQ?oc=5
2026-02-21 20:56:04.499054,Prabowo Subianto,1,3,5 jam yang lalu,Prabowo Dapat Jersey Reece James saat Bertemu Pemilik Chelsea di AS,Prabowo Dapat Jersey Reece James saat Bertemu Pemilik Chelsea di ASdetikNews,detikNews,https://news.google.com/rss/articles/CBMiqwFBVV95cUxPQVVtT0JQMEs3M1RoWUxqc2VLejF3ZlVPUU9TU3Q4bTVCLXpNWWNGWlJKZDZuZ3hSRUFTekd3LWlTVjIwdFVTbG51aWE0enNpazd4dU9XXzNnU3pTc2tfTlM0b0ZTazRTRm8zbGl2dTY5WFNyMzJTcEtiTWQ1NThTUF9DM1R4ZzFfa3g0Wk0xYkt0LXZBUzMzejkyNkJhOUNwRHNDSTRZOUNYRU3SAbABQVVfeXFMUE9vY3lhdmtCeFNRNlMtSjlqRnhEMDJxNGQtTk1QWkU4ZUJwc0VOS05GS2lzeTRsa1RmZ1o1QmRTRUZFWU9WeDMwQU1fcWs2bTNTY1lwY0k1UW10MEM2RG5Ld1BYQlVnMXZTSmJOaXh4YXBOV2NUUVpPencxVG9zeWczUjBsdjR4Qm9sVlRCT2ItMTJUdWpUcHktTnkweVowZGpkRjd1cHA0QW1Ybndac2o?oc=5
2026-02-21 20:56:04.500238,Prabowo Subianto,1,4,34 menit yang lalu,"Potret Prabowo Dapat Jersey Reece James, Bertemu Pemilik Chelsea di AS","Potret Prabowo Dapat Jersey Reece James, Bertemu Pemilik Chelsea di ASKompas.tv",Kompas.tv,https://news.google.com/rss/articles/CBMisgFBVV95cUxNczBnMHdkbVIweXFYa0JmN3BqaUQ0cXhiQWpYRGFqR19QTFMzeEV2NjhKWXhER1pzUUE5THAtZnV0a1o5RWhMTGxISGdYcHkyY1ZmMDM0SnpQNUk3a2pJQWxlNndnaU9ENkNXMl91NDdmUnBFWGt2Uzk4N1F3dWw5X2xRNXozUnBMb3NEbFdOOTMzRUNmUEIzZ1RWN3NRMVNIc2I2amZ2R2duMm5sR3kyeGJB0gG3AUFVX3lxTE41dFA1ZkYzdVVOWkFmbEZFQTJJSnRjcnMzbE9KQWExVDNNWnRNMElOYUY3YWJISGNsUW5SdVFVai11bGJPOWFhSGM4SHNTTlRNUEhSYUJrV1d5aFQ1TXdrYUZ6Sm5zdHUyQjZLdThfTE1RWFFTbHFQdG9telhCc0YxRE54UU1iNEhvNFFKZWdNQWN0M2lIVEkzNy1ucFB3T1h0cDQwR1VpZ0RzdEE1elZqZ190RDJZUQ?oc=5
2026-02-21 20:56:04.501237,Prabowo Subianto,1,5,2 hari lalu,"Prabowo di AS Pamer Efisiensi Rp 304 T: Mirip DOGE, Namun Saya Lebih Dulu","Prabowo di AS Pamer Efisiensi Rp 304 T: Mirip DOGE, Namun Saya Lebih DuludetikFinance",detikFinance,https://news.google.com/rss/articles/CBMiyAFBVV95cUxNOW42Qm52SGVrUGItM1UxcG9DbVNJMlU2LUJFY1lBLXM0WGZtV3NkSHIwY1JUekZ4THV5YTkwZUtlTVJweGs2ODcwUERleHZOMFdxN25CSnpXWkVsb2RQUHVsX00wWGs4Mmp2c0ZIX3Z6TGtkY3RCRzlkMXljTTlNdU03ZHB1M0lUY3RIdkRicWo0ektwV1dlVFNhODlCRm8zNnlWRDdPOFRvNFNTdmxYN1JIbk1NRTJMWXhDLWJHMW81X2hiYlB3VtIBzgFBVV95cUxQdHJKYzZWdEgzbnRfLWstOW5RWmxjMHoxZnpPUTBMNlJXV1RuN0NqYkhlVUZBWTdiRDE1M2IzMGlLVWhaVnJJdzhLa1N3ME5tY0l6U0tnbnVoNGNPZTZjZDdpdjR5ZUJ1alM2RjJmV2tMVjJJOHlwdkZJaGlyckJYQTJpZEhHVzR0ZU5GZG1PVDI5a3dLbVpBZ2JPblJYR3g4dmlNLURjV3RjVmpBQ2VhSHdOb2RLS1FlQ1ltQTZYM0gxNU9EQ211UTNjUng4Zw?oc=5
2026-02-21 20:56:04.502231,Prabowo Subianto,1,6,8 jam yang lalu,[HOAKS] Presiden Prabowo Minta Purbaya Siapkan Dana Pengangkatan PPPK Paruh Waktu jadi PNS,[HOAKS] Presiden Prabowo Minta Purbaya Siapkan Dana Pengangkatan PPPK Paruh Waktu jadi PNSTribrata News,Tribrata News,https://news.google.com/rss/articles/CBMi3gFBVV95cUxNVWZDMUkzNlh4MXFqUHM4WW1OQU1TSVpxM0RXMWVhaEJnTE81YXhiWWRqSkY3OTZPVzBHZ19NLXVDY3ZWR2V6OVNaeFA1M1dRaDhSTmZkd1lzWkVqTzFNakozU0JJSG92U21CcFZ1U0xYTUVoci1FbE9ZdEkzU1BfRkNTcEk5S1g3aU9jRGk3Zi1lUjJvZ2dEbnVfSklmTEFLVWUwM2NqU1dUcFRWN1I5Yk1mem9JYUI2ZDJnOWFtUnlmeUpBMHpWWTFmNFhWSWw3RmdYeFJLbE1sd01qdkE?oc=5
2026-02-21 20:56:04.504227,Prabowo Subianto,1,7,3 hari lalu,"Prabowo Subianto Diterpa Sederet Hoaks di Media Sosial, Simak Faktanya","Prabowo Subianto Diterpa Sederet Hoaks di Media Sosial, Simak FaktanyaLiputan6.com",Liputan6.com,https://news.google.com/rss/articles/CBMiuAFBVV95cUxNRDBneTVoUkZXNVB4OXVEbDM0cnJKTWt0Skp3OUFSU3U2TVpnb3VjZFQ2MWQycnoyT1BLYmFEX0ltV1pzRTVaUnNsekI3WnpoeWNnVExsbzNCWVpxLUdsMGRBSTNMcnlYSXVHWkNIcHkyNWFRR0NpT0sybk9qejhBa0J5QzBkQ1R2ODVBTzhsYUdNM1JCNWNUTlhxeFJTaXB4YkdzZ0NqVjF3cG5NNVVmSDhacktfbkEt?oc=5
2026-02-21 20:56:04.504969,Prabowo Subianto,1,8,1 hari lalu,[HOAKS] Presiden Prabowo Subianto Reshuffle Kabinet pada Pertengahan Februari 2026,[HOAKS] Presiden Prabowo Subianto Reshuffle Kabinet pada Pertengahan Februari 2026InfoPublik,InfoPublik,https://news.google.com/rss/articles/CBMixwFBVV95cUxNUFZxQzVjUUNqNVAxM29wbmJjcUFKeEtqMVA2aGJBZHhCOXJkc1dFVzhRMXp5RFI3czdTRTBCWndSMm5hUG9FQjloVTkzUzU1VlpBcWF2MUdOVnM2S292TmtjcFpJa0hZNk1kb0JJdkVwMklJM0dVTXlBLUZGUVA0R3ZZVmZlRzJ3OXdtQmdPRnZsSWsyVHpsZ05IVExaVkhnMDQwQmpwZG1aUC1udFQ4d0daY0ZlcTI5MFlnZEtHcnBHYnZQOG44?oc=5
2026-02-21 20:56:04.504969,Prabowo Subianto,1,9,2 hari lalu,Kementerian Koordinator Bidang Perekonomian Republik Indonesia -,Kementerian Koordinator Bidang Perekonomian Republik Indonesia- Kementerian Koordinator Bidang Perekonomian Republik Indonesia,Kementerian Koordinator Bidang Perekonomian Republik Indonesia,https://news.google.com/rss/articles/CBMi6wFBVV95cUxOTVJ6QnlUODBfX2N5ZU5nSGZzR1hLVmMwSEVGcm1PeHU5LWQxMnMxdEU2YTZKMEZqQXNZcjluMG1hZFMwWU1Fd0hpd1FyUEFEY0paaFRNdTFnMkFFVjJxNkFtNUs4MTFxSU5SR2VvVUd2andnX2h0dDEyMmJVMzhHVGJQbHF1M1FjVG1GczlZS2ZDTWdrbFpKd2U1eFBRRWU3TTVqTllncy1qVWFFbU1WMUk3WVJwMnUzZzNXazc2NzFRQURnTmQ0NWtyZ1NWSF9qOHpkRElPTzU0QlZ2WW9KX2g3eDR3MThwdjlF?oc=5
2026-02-21 20:56:04.504969,Prabowo Subianto,1,10,2 jam yang lalu,Seskab Ungkap 12 Pengusaha Besar yang Bertemu Prabowo di Washington,Seskab Ungkap 12 Pengusaha Besar yang Bertemu Prabowo di WashingtonBorneonews,Borneonews,https://news.google.com/rss/articles/CBMirwFBVV95cUxOOUFVVDAzMy1KT3k3UjliS0Zub3l1Y2ZWWWdNMVBDRzM3Nk4xQkhLX0hVNGRFaG1ITFlpbWNNZG9OX0tOSlZCWUZXS0hxbjU0TGpEdUVuNWpWbnh1WG8zX1BacHdiTmZYd04zMFluekpIeWUtWUpDNzVVQ25GLURWRU82clQyeEgyekZxYUlLWEJXbTRkRXA3eHlTaEp3RnNrSEpTYkVDMDM4Z19hV1N3?oc=5
